,age,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,income,net_capital
0,25,6,7,0,3,5,0,0,40,0,0
1,38,9,9,5,5,4,3,0,50,0,0
2,28,12,12,5,1,4,3,0,40,1,0
3,44,10,10,5,3,4,0,0,40,1,7688
4,18,10,10,0,4,5,3,1,30,0,0
5,34,5,6,0,8,2,3,0,30,0,0
6,29,9,9,0,12,0,0,0,40,0,0
7,63,8,15,5,12,4,3,0,32,1,3103
8,24,10,10,0,8,0,3,1,40,0,0
9,55,3,4,5,7,4,3,0,10,0,0
10,65,9,9,5,3,4,3,0,40,1,6418
11,36,13,13,5,4,4,3,0,40,0,0
12,26,9,9,0,4,2,3,1,39,0,0
13,58,9,9,5,12,4,3,0,35,0,0
14,48,9,9,5,3,4,3,0,48,1,3103
15,43,14,14,5,11,4,3,0,50,1,0
16,20,10,10,0,8,5,3,0,25,0,0
17,43,9,9,5,4,3,3,1,30,0,0
18,37,9,9,1,3,0,3,1,20,0,0
19,40,15,16,5,12,4,1,0,45,1,0
20,34,13,13,5,9,4,3,0,47,1,0
21,34,10,10,0,8,5,0,1,35,0,0
22,72,3,4,2,12,2,3,1,6,0,0
23,25,13,13,0,12,2,3,0,43,0,0
24,25,13,13,5,12,4,3,0,40,0,0
25,45,9,9,5,7,4,3,0,90,1,7298
26,22,9,9,0,4,5,3,0,20,0,0
27,23,9,9,3,3,0,0,0,54,0,0
28,54,9,9,5,7,4,3,0,35,0,0
29,32,10,10,0,12,2,3,0,60,0,0
30,46,10,10,5,11,4,0,0,38,1,7688
31,56,6,7,1,8,0,3,1,50,0,0
32,24,13,13,0,10,2,3,0,50,0,0
33,23,10,10,5,1,4,3,0,40,0,0
34,26,9,9,2,11,0,3,1,40,0,0
35,65,9,9,5,9,4,3,0,40,0,0
36,36,13,13,5,12,4,3,0,40,1,0
37,22,2,3,0,0,2,3,0,50,0,0
38,17,5,6,0,3,2,3,0,40,0,0
39,20,9,9,0,7,5,3,0,40,0,0
40,65,14,14,5,12,4,3,0,50,1,0
41,44,11,11,5,10,4,3,0,45,1,0
42,36,9,9,5,5,4,3,0,40,0,0
43,29,6,7,5,8,4,3,0,40,0,0
44,20,10,10,0,5,5,3,0,32,0,0
45,28,11,11,5,12,3,3,1,36,1,0
46,39,3,4,5,7,4,3,0,40,0,0
47,54,10,10,5,6,4,3,0,50,0,3908
48,52,6,7,3,0,2,0,1,18,0,0
49,56,9,9,1,11,2,3,1,50,0,0
50,18,10,10,0,8,5,3,0,20,0,0
51,39,9,9,2,2,5,0,0,40,0,0
52,21,10,10,0,8,5,3,1,24,0,-1721
53,22,9,9,0,8,2,3,0,60,1,14084
54,38,4,5,4,11,2,3,0,54,0,0
55,21,10,10,0,4,5,3,1,40,0,0
56,63,9,9,5,7,4,3,0,40,0,0
57,34,13,13,5,11,4,3,0,50,1,3103
58,42,9,9,5,11,4,3,0,50,1,5178
59,33,9,9,5,2,4,3,0,40,0,0
60,30,13,13,0,11,2,3,1,50,0,0
61,39,10,10,2,10,2,3,0,40,0,0
62,26,14,14,0,11,2,3,1,40,0,0
63,33,9,9,0,3,5,3,1,40,0,0
64,47,9,9,2,4,2,3,1,40,0,0
65,41,13,13,0,8,2,3,1,40,0,0
66,41,12,12,5,7,4,3,0,60,1,15024
67,19,10,10,0,8,5,3,0,20,0,0
68,46,9,9,3,6,2,3,0,40,0,0
69,43,9,9,5,10,4,3,0,48,0,0
70,55,10,10,5,11,4,3,0,45,1,15024
71,46,11,11,5,9,4,3,0,40,0,0
72,30,9,9,5,3,4,3,0,40,0,0
73,21,10,10,3,2,2,3,1,40,0,0
74,46,10,10,5,7,4,2,0,40,0,0
75,17,5,6,0,5,5,3,0,40,0,0
76,41,9,9,5,3,4,3,0,50,0,0
77,69,9,9,5,10,4,3,0,30,0,0
78,50,9,9,5,6,4,3,0,40,0,0
79,20,10,10,0,4,2,3,1,40,0,0
80,45,10,10,5,3,4,3,0,50,0,0
81,23,13,13,0,11,2,3,0,40,0,0
82,24,10,10,3,8,2,3,0,40,0,-1876
83,44,9,9,5,7,4,3,0,50,1,99999
84,31,10,10,5,7,4,3,0,50,0,0
85,43,9,9,3,3,2,3,1,44,0,0
86,20,6,7,0,8,5,3,1,10,0,0
87,55,9,9,5,10,4,3,0,56,1,0
88,24,10,10,0,13,2,3,0,40,0,0
89,41,14,14,5,12,3,3,1,10,1,7688
90,59,13,13,0,11,2,3,1,25,0,0
91,49,3,4,0,8,2,0,0,20,0,0
92,33,14,14,5,12,3,3,1,10,1,5178
93,59,13,13,2,4,2,3,0,40,0,0
94,34,14,14,0,8,2,4,0,40,0,0
95,20,9,9,0,2,5,3,0,40,0,0
96,25,13,13,0,11,5,3,1,40,0,0
97,49,5,6,5,5,4,3,0,40,0,0
98,59,9,9,5,6,4,3,0,40,1,0
99,20,9,9,0,4,2,3,1,40,0,0
100,51,10,10,5,12,3,3,1,18,0,0
101,33,10,10,0,4,0,0,1,35,0,0
102,22,10,10,0,6,5,0,0,39,0,0
103,58,4,5,1,8,2,3,1,40,0,0
104,52,9,9,1,4,0,3,1,28,0,0
105,36,5,6,3,3,2,3,1,40,0,0
106,41,9,9,5,1,4,3,0,40,0,0
107,28,9,9,0,6,5,3,0,40,0,2597
108,19,10,10,0,2,5,0,0,16,0,0
109,18,9,9,0,8,2,3,1,28,0,0
110,18,9,9,0,3,5,3,1,48,0,0
111,28,10,10,5,7,4,3,0,40,0,0
112,29,11,11,5,11,4,3,0,40,1,0
113,20,9,9,0,12,5,3,1,20,0,0
114,40,10,10,5,2,4,3,0,40,0,0
115,26,9,9,0,2,0,3,0,40,0,0
116,46,9,9,5,7,4,3,0,40,0,0
117,23,6,7,0,8,2,3,1,24,0,0
118,44,9,9,4,4,0,3,1,40,0,0
119,43,13,13,2,10,0,3,1,40,1,0
120,31,13,13,2,12,0,3,1,60,0,0
121,18,10,10,0,10,5,3,1,25,0,0
122,19,10,10,0,1,5,3,0,30,0,0
123,41,10,10,2,9,2,3,1,40,0,0
124,41,9,9,2,2,0,3,1,40,0,0
125,69,9,9,2,4,2,3,1,25,0,0
126,48,15,16,5,12,3,3,1,40,1,0
127,28,9,9,0,12,5,3,0,40,0,0
128,27,9,9,5,7,4,3,0,60,1,0
129,41,14,14,5,12,4,3,0,50,1,-2415
130,41,10,10,5,4,4,3,0,40,0,0
131,24,9,9,0,7,0,0,1,40,0,0
132,20,9,9,0,4,2,3,1,40,0,0
133,42,15,16,5,12,4,3,0,41,1,0
134,57,9,9,5,7,4,0,0,48,0,0
135,30,12,12,0,12,2,3,1,40,0,0
136,36,9,9,5,10,4,3,0,60,1,0
137,49,3,4,5,3,4,0,0,40,0,0
138,33,9,9,5,3,3,3,1,35,0,0
139,23,5,6,5,5,4,3,0,40,0,0
140,46,14,14,5,12,4,3,0,40,0,0
141,18,10,10,0,4,5,1,1,22,0,0
142,40,9,9,5,11,4,3,0,55,1,7688
143,43,9,9,5,11,4,3,0,45,1,-1887
144,34,14,14,0,12,5,3,1,30,0,0
145,47,9,9,1,11,2,3,1,30,0,0
146,44,11,11,1,11,0,3,1,30,0,0
147,33,9,9,5,10,4,3,0,40,1,0
148,55,13,13,5,11,4,3,0,50,1,15024
149,19,9,9,0,10,2,3,0,30,0,2907
150,28,10,10,0,8,2,0,0,14,0,0
151,27,6,7,5,8,3,0,1,32,0,0
152,50,3,4,5,3,4,3,0,20,0,0
153,22,6,7,0,7,0,3,0,40,0,0
154,40,13,13,5,4,4,3,0,45,1,-1887
155,25,10,10,0,4,5,3,1,40,0,0
156,26,9,9,0,7,2,3,0,40,0,0
157,22,13,13,0,10,2,3,0,25,0,0
158,42,10,10,0,2,0,0,1,40,0,-625
159,38,13,13,2,11,2,3,0,40,0,0
160,55,6,7,5,8,4,3,0,30,0,0
161,32,9,9,5,10,4,3,0,40,0,0
162,22,9,9,5,7,4,3,0,45,0,0
163,29,13,13,0,10,5,3,0,40,0,0
164,46,14,14,5,11,4,3,0,45,1,0
165,31,10,10,5,11,4,3,0,40,1,0
166,58,15,16,5,12,4,3,0,16,1,0
167,42,9,9,5,7,4,3,0,45,0,0
168,18,9,9,0,2,0,3,0,25,0,0
169,58,9,9,2,11,2,3,0,33,0,0
170,54,9,9,5,12,4,3,0,40,1,-1887
171,34,14,14,0,12,2,3,0,40,0,0
172,26,13,13,0,4,2,3,1,40,0,0
173,61,7,8,5,11,4,3,0,60,0,0
174,48,14,14,3,4,0,0,1,40,0,0
175,36,10,10,5,11,4,3,0,45,1,0
176,24,11,11,5,3,4,3,0,45,0,0
177,40,10,10,5,3,4,3,0,37,0,0
178,33,9,9,5,10,4,3,0,50,1,0
179,37,10,10,5,3,4,3,0,40,1,-1887
180,34,14,14,0,11,5,3,0,40,0,4650
181,56,10,10,5,11,4,3,0,40,1,15024
182,28,9,9,5,10,5,3,1,38,1,0
183,37,13,13,1,11,2,3,1,55,0,0
184,44,9,9,2,10,0,0,1,40,0,0
185,64,10,10,5,12,4,3,0,8,0,0
186,54,9,9,2,2,2,3,0,45,0,0
187,23,9,9,0,3,2,3,0,50,0,0
188,34,13,13,4,5,2,0,0,40,0,0
189,22,9,9,0,8,2,3,1,45,0,0
190,33,13,13,5,11,4,3,0,40,1,-1977
191,39,13,13,3,12,2,3,0,50,1,0
192,47,10,10,2,4,2,0,1,37,0,0
193,79,3,4,1,8,2,3,0,40,0,0
194,26,9,9,0,12,0,0,1,55,0,0
195,31,10,10,2,11,0,3,1,40,0,0
196,44,10,10,0,6,2,3,0,45,0,0
197,42,8,15,5,12,3,3,1,50,1,0
198,19,9,9,0,3,2,3,1,40,0,0
199,27,9,9,5,2,4,3,0,40,1,0
200,51,10,10,5,1,4,3,0,40,1,0
201,28,13,13,5,11,4,3,0,50,0,0
202,57,13,13,2,7,2,3,0,45,0,0
203,45,13,13,2,12,0,3,1,40,0,0
204,50,11,11,5,12,4,3,0,40,1,0
205,34,13,13,5,10,4,3,0,54,0,0
206,45,3,4,5,7,4,0,0,40,0,0
207,73,9,9,5,11,4,3,0,20,0,0
208,34,13,13,5,12,3,3,1,50,1,0
209,31,10,10,5,10,4,3,0,55,1,0
210,19,6,7,0,10,2,3,0,12,0,0
211,25,10,10,0,8,5,3,1,50,0,0
212,38,11,11,2,7,0,3,1,40,0,6497
213,39,13,13,5,6,4,3,0,40,0,0
214,23,13,13,0,9,5,0,1,32,0,0
215,49,9,9,5,3,4,3,0,40,0,0
216,33,9,9,0,8,2,3,0,32,0,0
217,21,2,3,0,3,1,3,0,38,0,0
218,31,11,11,3,7,2,3,0,40,0,0
219,23,13,13,0,11,2,3,1,45,0,0
220,34,13,13,5,4,4,1,0,40,0,0
221,25,9,9,0,3,2,1,1,40,0,0
222,39,9,9,0,7,0,3,0,40,0,0
223,52,9,9,5,10,4,3,0,40,1,0
224,63,4,5,5,6,4,3,0,40,1,7688
225,41,10,10,5,7,4,3,0,40,0,0
226,46,13,13,5,12,4,3,0,38,1,15024
227,53,9,9,5,11,4,3,0,40,0,0
228,25,4,5,3,10,2,3,1,40,0,1055
229,77,10,10,5,12,4,3,0,35,0,0
230,18,7,8,0,0,5,3,0,40,0,0
231,38,8,15,5,12,4,3,0,50,0,0
232,55,14,14,0,11,0,1,1,50,0,0
233,34,9,9,5,9,4,3,0,40,1,0
234,80,9,9,5,8,4,3,0,30,0,0
235,34,11,11,2,9,0,3,1,60,0,0
236,52,10,10,5,9,4,3,0,40,0,5013
237,42,9,9,0,8,0,0,1,28,0,0
238,26,10,10,0,10,2,3,1,40,0,0
